
2025/01/22 (12:36:30) | ===> btop++ v.1.3.0
2025/01/22 (12:36:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/22 (12:36:50) | ===> btop++ v.1.3.0
2025/01/22 (12:36:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/22 (14:32:38) | ===> btop++ v.1.3.0
2025/01/22 (14:32:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/22 (14:34:16) | ===> btop++ v.1.3.0
2025/01/22 (14:34:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/22 (16:24:37) | ===> btop++ v.1.3.0
2025/01/22 (16:24:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/01/23 (01:08:21) | ===> btop++ v.1.3.0
2025/01/23 (01:08:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/02/24 (18:40:09) | ===> btop++ v.1.3.0
2025/02/24 (18:40:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/06 (16:52:20) | ===> btop++ v.1.3.0
2025/03/06 (16:52:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/11 (19:41:17) | ===> btop++ v.1.3.0
2025/03/11 (19:41:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/16 (17:31:28) | ===> btop++ v.1.3.0
2025/03/16 (17:31:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/16 (17:35:26) | ===> btop++ v.1.3.0
2025/03/16 (17:35:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/18 (06:57:49) | ===> btop++ v.1.3.0
2025/03/18 (06:57:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/31 (22:08:22) | ===> btop++ v.1.3.0
2025/03/31 (22:08:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/31 (23:15:21) | ===> btop++ v.1.3.0
2025/03/31 (23:15:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/31 (23:15:27) | ===> btop++ v.1.3.0
2025/03/31 (23:15:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/03/31 (23:19:14) | ===> btop++ v.1.3.0
2025/03/31 (23:19:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (21:20:44) | ===> btop++ v.1.3.0
2025/04/01 (21:20:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (21:21:01) | ===> btop++ v.1.3.0
2025/04/01 (21:21:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (21:21:29) | ===> btop++ v.1.3.0
2025/04/01 (21:21:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/01 (21:22:28) | ===> btop++ v.1.3.0
2025/04/01 (21:22:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/02 (02:16:32) | ===> btop++ v.1.3.0
2025/04/02 (02:16:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/02 (07:49:19) | ===> btop++ v.1.3.0
2025/04/02 (07:49:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/05 (20:05:34) | ===> btop++ v.1.3.0
2025/04/05 (20:05:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/06 (14:37:30) | ===> btop++ v.1.3.0
2025/04/06 (14:37:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/06 (23:27:08) | ===> btop++ v.1.3.0
2025/04/06 (23:27:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/07 (19:09:15) | ===> btop++ v.1.3.0
2025/04/07 (19:09:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/12 (00:09:22) | ===> btop++ v.1.3.0
2025/04/12 (00:09:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/12 (00:56:43) | ===> btop++ v.1.3.0
2025/04/12 (00:56:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/22 (21:18:16) | ===> btop++ v.1.3.0
2025/04/22 (21:18:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/03 (18:57:04) | ===> btop++ v.1.3.0
2025/05/03 (18:57:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/03 (19:35:57) | ===> btop++ v.1.3.0
2025/05/03 (19:35:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/03 (19:38:52) | ===> btop++ v.1.3.0
2025/05/03 (19:38:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/03 (20:09:45) | ===> btop++ v.1.3.0
2025/05/03 (20:09:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/10 (23:47:12) | ===> btop++ v.1.3.0
2025/05/10 (23:47:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/11 (16:39:19) | ===> btop++ v.1.3.0
2025/05/11 (16:39:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/17 (14:33:41) | ===> btop++ v.1.3.0
2025/05/17 (14:33:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/17 (15:28:43) | ===> btop++ v.1.3.0
2025/05/17 (15:28:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/22 (13:42:53) | ===> btop++ v.1.3.0
2025/05/22 (13:42:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/25 (02:27:03) | ===> btop++ v.1.3.0
2025/05/25 (02:27:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/06/01 (18:45:50) | ===> btop++ v.1.3.0
2025/06/01 (18:45:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
